FIPS,County,value1,value2,value3
"01003","Baldwin County",1,1,112
"01073","Jefferson County",11,3,282
"01077","Lauderdale County",4,1,77
"01083","Limestone County",2,1,91
"01089","Madison County",14,6,405
"01097","Mobile County",16,4,263
"01101","Montgomery County",4,1,119
"01103","Morgan County",8,1,56
"01115","St. Clair County",1,1,40
"01117","Shelby County",5,1,169
"02020","Anchorage County",2,2,37
"02090","Fairbanks North Star Borough",1,1,22
"04005","Coconino County",20,2,187
"04007","Gila County",1,1,53
"04011","Greenlee County",3,1,29
"04012","La Paz County",1,1,28
"04013","Maricopa County",76,25,2132
"04019","Pima County",5,5,352
"04021","Pinal County",3,1,73
"04027","Yuma County",1,1,17
"05119","Pulaski County",12,3,273
"05125","Saline County",34,2,733
"06001","Alameda County",36,8,1076
"06005","Amador County",4,1,78
"06013","Contra Costa County",9,3,318
"06017","El Dorado County",4,1,99
"06019","Fresno County",3,2,162
"06023","Humboldt County",11,1,141
"06029","Kern County",12,2,263
"06037","Los Angeles County",283,43,5775
"06041","Marin County",20,3,490
"06047","Merced County",10,1,143
"06053","Monterey County",18,5,405
"06059","Orange County",42,9,809
"06061","Placer County",2,2,150
"06065","Riverside County",14,8,583
"06067","Sacramento County",19,5,541
"06071","San Bernardino County",20,6,649
"06073","San Diego County",94,24,2022
"06075","San Francisco County",24,7,390
"06077","San Joaquin County",6,2,207
"06079","San Luis Obispo County",15,3,277
"06081","San Mateo County",29,6,501
"06083","Santa Barbara County",15,3,275
"06085","Santa Clara County",76,17,2003
"06095","Solano County",1,1,34
"06097","Sonoma County",8,2,205
"06099","Stanislaus County",9,2,403
"06107","Tulare County",1,1,30
"06111","Ventura County",16,4,575
"06113","Yolo County",10,1,113
"08001","Adams County",9,3,274
"08005","Arapahoe County",11,3,337
"08013","Boulder County",2,1,116
"08014","Broomfield County",2,2,118
"08031","Denver County",25,9,477
"08035","Douglas County",7,3,189
"08041","El Paso County",16,5,546
"08059","Jefferson County",24,5,383
"08065","Lake County",9,2,82
"08069","Larimer County",54,11,754
"08071","Las Animas County",1,1,9
"08077","Mesa County",9,2,199
"08097","Pitkin County",1,1,41
"08099","Prowers County",3,1,12
"08123","Weld County",13,3,461
"09001","Fairfield County",11,3,171
"09003","Hartford County",13,3,190
"09005","Litchfield County",44,6,304
"09007","Middlesex County",1,1,21
"09009","New Haven County",93,7,597
"09110","Capitol Planning Region",10,5,116
"09120","Greater Bridgeport Planning Region",7,3,158
"09130","Lower Connecticut River Valley Planning Region",1,1,42
"09140","Naugatuck Valley Planning Region",2,1,44
"09150","Northeastern Connecticut Planning Region",2,1,35
"09170","South Central Connecticut Planning Region",46,9,958
"09180","Southeastern Connecticut Planning Region",5,2,107
"09190","Western Connecticut Planning Region",212,23,3926
"10001","Kent County",3,1,40
"10003","New Castle County",30,7,463
"10005","Sussex County",1,1,28
"11001","District Of Columbia County",132,27,1893
"12009","Brevard County",7,4,289
"12011","Broward County",5,3,148
"12015","Charlotte County",5,2,68
"12019","Clay County",4,1,209
"12021","Collier County",3,1,157
"12031","Duval County",12,4,497
"12035","Flagler County",7,1,126
"12055","Highlands County",36,2,584
"12057","Hillsborough County",34,7,684
"12069","Lake County",2,1,300
"12071","Lee County",2,1,39
"12073","Leon County",9,2,420
"12083","Marion County",1,1,16
"12085","Martin County",3,1,121
"12086","Miami-Dade County",37,12,1162
"12087","Monroe County",1,1,36
"12095","Orange County",33,6,1784
"12097","Osceola County",8,3,168
"12099","Palm Beach County",29,9,762
"12101","Pasco County",11,1,369
"12103","Pinellas County",3,3,86
"12105","Polk County",17,5,377
"12109","St. Johns County",1,1,47
"12115","Sarasota County",1,1,43
"12117","Seminole County",32,5,695
"12127","Volusia County",3,1,355
"13021","Bibb County",4,1,86
"13045","Carroll County",10,2,222
"13051","Chatham County",8,3,152
"13057","Cherokee County",12,2,212
"13067","Cobb County",8,3,386
"13077","Coweta County",0,0,70
"13089","DeKalb County",5,3,179
"13097","Douglas County",1,1,20
"13113","Fayette County",16,3,297
"13117","Forsyth County",2,2,140
"13121","Fulton County",32,8,1216
"13127","Glynn County",1,1,134
"13135","Gwinnett County",8,2,259
"13151","Henry County",5,1,288
"13153","Houston County",5,1,40
"13179","Liberty County",1,1,49
"13185","Lowndes County",1,1,43
"13209","Montgomery County",3,1,27
"13217","Newton County",1,1,90
"13233","Polk County",4,1,57
"13245","Richmond County",18,1,95
"13255","Spalding County",0,0,80
"13269","Taylor County",6,1,147
"13275","Thomas County",2,1,36
"15001","Hawaii County",4,2,90
"15003","Honolulu County",72,10,969
"15007","Kauai County",1,1,43
"15009","Maui County",4,1,140
"16001","Ada County",46,12,1485
"16013","Blaine County",7,1,208
"16015","Boise County",16,0,12
"16019","Bonneville County",7,2,54
"16027","Canyon County",8,3,368
"16041","Franklin County",52,1,843
"16053","Jerome County",3,1,97
"16055","Kootenai County",16,3,649
"16073","Owyhee County",26,2,658
"16075","Payette County",2,1,73
"16077","Power County",25,2,510
"16083","Twin Falls County",11,1,231
"16085","Valley County",1,1,41
"17019","Champaign County",36,3,525
"17027","Clinton County",8,2,169
"17031","Cook County",258,50,5206
"17043","DuPage County",15,4,379
"17077","Jackson County",0,1,48
"17089","Kane County",21,6,558
"17097","Lake County",9,7,291
"17111","McHenry County",4,2,73
"17119","Madison County",0,1,0
"17135","Montgomery County",10,1,226
